,ALT_ARM20q,ALT_ARM20p,ALT_MUT_NF1,ALT_MUT_IDH1,ALT_CNA_LINC00864
0,0.09253901485446056,0.10337121973746263,0.18120741668550047,0.14208464910969285,0.48079769961288343
1,0.09659250093502704,0.12280037917458926,0.14632593730141244,0.14743235125070386,0.48684883133826745
2,0.1090292110427227,0.10928056748457643,0.17842324756146727,0.15163483813935305,0.4516321357718806
3,0.10139614190735459,0.1260123299393089,0.18947516606184306,0.15421811366074256,0.4288982484307509
4,0.1508943202258522,0.08654040147215286,0.213449944986624,0.16426393548328166,0.38485139783208944
5,0.10201652785072961,0.09472310399683737,0.20860019451639944,0.1549059836149362,0.43975419002109734
6,0.11860086068365659,0.10359094631917318,0.17994859014563352,0.15525505949705493,0.44260454335448196
7,0.1031851471407623,0.13794161836291097,0.19680745203199396,0.13336100475926801,0.4287047777050648
8,0.07529399831091581,0.1016099260636597,0.20264909799897718,0.1315067101597947,0.4889402674666526
9,0.07504387914591376,0.11961281694408471,0.22921819164411864,0.1201840964855844,0.4559410157802985
